timestamp,rms_g,curtose,fator_crista,alerta
12:03:55,0.11501,26.8014,9.7148,1
12:03:57,0.15299,39.8474,11.8222,1
12:03:59,0.15321,41.2318,11.8068,1
12:04:01,0.12771,16.8723,8.4291,1
12:04:03,0.15945,15.4656,8.3875,1
12:04:04,0.20058,14.8074,6.8507,1
12:12:04,0.16369,25.7103,9.0835,1
12:12:04,0.12922,16.3440,8.4872,1
12:12:04,0.13504,13.6792,7.5089,1
12:12:04,0.13817,12.8888,7.1174,1
12:12:04,0.13780,14.3987,7.6517,1
12:12:08,0.13873,14.5226,7.6535,1
12:12:08,0.13764,13.7248,8.0013,1
12:12:12,0.13832,16.6980,8.0494,1
12:12:12,0.13869,17.8481,9.0506,1
12:12:16,0.13529,15.6386,8.0171,1
12:12:16,0.13432,16.3065,8.4271,1
12:12:19,0.13728,18.1157,9.4380,1
12:12:19,0.13543,17.4206,9.0698,1
12:12:23,0.13369,17.5506,7.8381,1
12:12:23,0.13329,16.6760,8.1056,1
12:12:26,0.13546,17.8823,8.8325,1
12:12:26,0.13652,15.8634,8.3013,1
12:12:30,0.13216,16.9409,8.2079,1
12:12:33,0.13096,16.3209,7.9066,1
12:12:33,0.13194,16.7068,8.3472,1
12:12:36,0.12770,17.7833,8.8788,1
12:12:36,0.12959,18.8178,9.0006,1
12:12:39,0.12601,19.1907,8.7874,1
12:12:42,0.15233,35.0518,11.3242,1
12:12:42,0.14924,37.0610,11.5608,1
12:12:44,0.12741,18.8663,8.4926,1
12:12:46,0.12650,16.7117,8.4341,1
12:12:49,0.12691,19.0680,9.1860,1
12:12:51,0.12634,17.6465,8.5939,1
12:12:53,0.12630,18.0086,7.8963,1
12:12:55,0.12774,20.3948,8.9739,1
12:12:56,0.12755,19.1954,7.9971,1
12:12:58,0.13100,19.9635,8.4534,1
12:13:01,0.12986,20.7194,8.7592,1
12:13:03,0.12790,20.2118,8.6972,1
12:13:05,0.13206,19.4918,7.8405,1
12:13:07,0.12932,19.3803,8.8359,1
12:13:09,0.12590,21.6845,8.7312,1
12:13:11,0.12568,23.7676,9.4988,1
12:13:13,0.12439,22.3670,9.2360,1
12:13:15,0.12665,20.9772,8.7902,1
12:13:16,0.12583,22.4844,9.3316,1
12:13:18,0.12042,17.6116,8.5435,1
12:13:20,0.12383,20.1985,7.8659,1
12:13:22,0.12268,21.8506,8.4852,1
12:13:24,0.12248,21.0769,8.2778,1
12:13:26,0.12152,25.7056,9.0377,1
12:13:28,0.12191,21.7203,8.7898,1
12:13:31,0.12465,23.2925,9.2012,1
12:13:32,0.12729,21.5012,8.9292,1
12:13:35,0.12423,21.3883,9.0987,1
12:13:37,0.12048,22.7465,9.6142,1
12:13:40,0.12484,22.8573,9.7968,1
12:13:42,0.12532,22.6121,9.0153,1
12:13:44,0.12420,22.9493,9.2187,1
12:13:47,0.12359,21.7981,8.6095,1
12:13:49,0.12207,22.8035,8.8971,1
12:13:51,0.12364,23.8177,9.2972,1
12:13:52,0.12545,22.7228,9.1665,1
12:13:54,0.12180,21.7185,8.9583,1
12:13:56,0.12501,22.2482,8.6291,1
12:13:58,0.12192,18.5449,8.2715,1
12:14:00,0.12244,21.3068,8.9600,1
12:14:03,0.12189,21.1087,9.0463,1
12:14:05,0.12169,20.0493,9.2433,1
12:14:06,0.12436,19.0609,8.6652,1
12:14:08,0.12535,20.8280,9.0579,1
12:14:10,0.12501,16.7603,8.0450,1
12:14:12,0.12492,20.2168,8.6620,1
12:14:14,0.12423,21.0834,9.2321,1
12:14:16,0.12368,21.2736,8.9237,1
12:14:18,0.12251,20.4999,9.1934,1
12:14:20,0.12740,22.5684,9.3973,1
12:14:22,0.12747,22.3828,9.1749,1
12:14:23,0.12231,22.8065,9.7327,1
12:14:25,0.12429,22.8620,9.5145,1
12:14:27,0.12268,22.0827,9.1046,1
12:14:29,0.11911,20.6825,8.1805,1
12:14:31,0.12258,21.9272,8.6891,1
12:14:33,0.12365,23.5657,9.1868,1
12:14:34,0.12151,22.3219,9.3557,1
12:14:37,0.12199,25.1942,10.2079,1
12:14:39,0.12273,25.1932,10.4246,1
