timestamp,rms_g,curtose,fator_crista,alerta
21:55:29,0.10134,42.1313,10.8593,1
21:55:30,0.10252,40.1332,10.6671,1
21:55:32,0.10524,49.9576,12.6375,1
21:55:35,0.10872,32.6146,9.9591,1
21:55:36,0.10548,32.7636,9.6085,1
21:55:38,0.12826,34.2707,9.9247,1
21:55:40,0.12599,44.1557,10.2840,1
21:55:42,0.10503,36.3849,10.4001,1
21:55:44,0.10699,34.2252,10.2500,1
21:55:46,0.10372,38.9940,10.6200,1
21:55:47,0.10287,38.6062,10.3848,1
21:55:49,0.12637,28.9827,8.6334,1
21:55:51,0.13027,26.8623,8.4150,1
21:55:53,0.10726,35.9483,10.0399,1
21:55:55,0.10177,41.7943,10.7993,1
21:55:57,0.10143,41.7083,10.8144,1
21:55:59,0.10188,40.3243,10.6235,1
21:56:01,0.10460,38.2741,10.5961,1
21:56:02,0.10482,37.2434,10.4605,1
21:56:04,0.10233,37.5407,10.4538,1
21:56:06,0.13916,36.1517,10.3290,1
21:56:08,0.13914,36.3966,10.3446,1
21:56:10,0.10576,46.0880,11.0249,1
21:56:12,0.10381,37.5866,10.5202,1
21:56:14,0.10306,39.1997,10.4714,1
21:56:16,0.10130,41.9049,10.7601,1
21:56:18,0.10107,42.1148,10.8294,1
21:56:19,0.10098,42.1002,10.7600,1
21:56:21,0.10121,42.3688,10.8529,1
21:56:23,0.10117,41.8950,10.7886,1
21:56:25,0.10173,41.5335,10.7704,1
21:56:27,0.10193,41.3002,10.7931,1
21:56:28,0.10143,41.5929,10.8034,1
21:56:31,0.10867,33.2256,10.1176,1
21:56:33,0.10987,31.5356,9.9990,1
21:56:34,0.10751,32.5245,10.1903,1
21:56:36,0.10619,33.9694,10.1663,1
21:56:38,0.10150,42.7302,10.8916,1
21:56:40,0.10166,41.3991,10.7637,1
21:56:42,0.10330,38.9059,10.5649,1
21:56:43,0.10263,39.5760,10.6065,1
21:56:45,0.10277,39.2322,10.6416,1
21:56:47,0.10094,41.8773,10.8252,1
21:56:49,0.10130,42.1297,10.7866,1
21:56:51,0.10168,41.2988,10.7499,1
21:56:53,0.10899,32.2736,10.0229,1
21:56:55,0.10745,35.8106,10.1758,1
21:56:57,0.10252,40.7894,10.7448,1
21:56:59,0.10439,37.8887,10.5888,1
21:57:00,0.10505,35.7645,10.3258,1
21:57:02,0.10233,41.6033,10.6684,1
21:57:04,0.10113,42.4303,10.8462,1
21:57:06,0.10181,40.6867,10.6729,1
21:57:08,0.10975,32.0791,9.9092,1
21:57:09,0.11911,33.2194,9.2271,1
21:57:12,0.18406,10.1949,6.0836,1
21:57:15,0.18816,9.8887,5.6860,1
21:57:16,0.12832,22.4030,8.6599,1
21:57:18,0.12241,23.8127,9.1787,1
21:57:20,0.11650,25.3340,8.8122,1
21:57:22,0.11455,29.3923,10.1397,1
21:57:24,0.11603,29.3793,10.2828,1
21:57:26,0.11813,29.5715,9.8635,1
21:57:27,0.12544,24.7850,8.9750,1
21:57:29,0.13228,16.0693,7.6829,1
21:57:31,0.13159,17.3321,8.0336,1
21:57:33,0.11456,34.1500,10.3159,1
21:57:35,0.11419,29.5808,9.8646,1
21:57:37,0.11697,27.0017,9.7032,1
21:57:39,0.10566,35.7258,9.6946,1
21:57:41,0.10406,40.6116,10.5591,1
21:57:42,0.10499,41.0178,10.7836,1
